Reporäntans utveckling,
Månad,Procent
jun-94,6.92
jul-94,6.92
aug-94,7.2
sep-94,7.2
okt-94,7.2
nov-94,7.4
dec-94,7.6
jan-95,7.6
feb-95,7.83
mar-95,8.2
apr-95,8.41
maj-95,8.41
jun-95,8.66
jul-95,8.91
aug-95,8.91
sep-95,8.91
okt-95,8.91
nov-95,8.91
dec-95,8.91
jan-96,8.45
feb-96,8.05
mar-96,7.4
apr-96,6.9
maj-96,6.5
jun-96,6.1
jul-96,5.55
aug-96,5.25
sep-96,5.05
okt-96,4.6
nov-96,4.35
dec-96,4.1
jan-97,4.1
feb-97,4.1
mar-97,4.1
apr-97,4.1
maj-97,4.1
jun-97,4.1
jul-97,4.1
aug-97,4.1
sep-97,4.1
okt-97,4.1
nov-97,4.1
dec-97,4.35
jan-98,4.35
feb-98,4.35
mar-98,4.35
apr-98,4.35
maj-98,4.35
jun-98,4.1
jul-98,4.1
aug-98,4.1
sep-98,4.1
okt-98,4.1
nov-98,3.6
dec-98,3.4
jan-99,3.4
feb-99,3.15
mar-99,2.9
apr-99,2.9
maj-99,2.9
jun-99,2.9
jul-99,2.9
aug-99,2.9
sep-99,2.9
okt-99,2.9
nov-99,3.25
dec-99,3.25
jan-00,3.25
feb-00,3.75
mar-00,3.75
apr-00,3.75
maj-00,3.75
jun-00,3.75
jul-00,3.75
aug-00,3.75
sep-00,3.75
okt-00,3.75
nov-00,3.75
dec-00,4
jan-01,4
feb-01,4
mar-01,4
apr-01,4
maj-01,4
jun-01,4
jul-01,4.25
aug-01,4.25
sep-01,3.75
okt-01,3.75
nov-01,3.75
dec-01,3.75
jan-02,3.75
feb-02,3.75
mar-02,4
apr-02,4
maj-02,4.25
jun-02,4.25
jul-02,4.25
aug-02,4.25
sep-02,4.25
okt-02,4.25
nov-02,4
dec-02,3.75
jan-03,3.75
feb-03,3.75
mar-03,3.5
apr-03,3.5
maj-03,3.5
jun-03,3
jul-03,2.75
aug-03,2.75
sep-03,2.75
okt-03,2.75
nov-03,2.75
dec-03,2.75
jan-04,2.75
feb-04,2.5
mar-04,2.5
apr-04,2
maj-04,2
jun-04,2
jul-04,2
aug-04,2
sep-04,2
okt-04,2
nov-04,2
dec-04,2
jan-05,2
feb-05,2
mar-05,2
apr-05,2
maj-05,2
jun-05,1.5
jul-05,1.5
aug-05,1.5
sep-05,1.5
okt-05,1.5
nov-05,1.5
dec-05,1.5
jan-06,1.75
feb-06,1.75
mar-06,2
apr-06,2
maj-06,2
jun-06,2.25
jul-06,2.25
aug-06,2.25
sep-06,2.5
okt-06,2.5
nov-06,2.75
dec-06,3
jan-07,3
feb-07,3.25
mar-07,3.25
apr-07,3.25
maj-07,3.25
jun-07,3.5
jul-07,3.5
aug-07,3.5
sep-07,3.75
okt-07,4
nov-07,4
dec-07,4
jan-08,4
feb-08,4.25
mar-08,4.25
apr-08,4.25
maj-08,4.25
jun-08,4.25
jul-08,4.5
aug-08,4.5
sep-08,4.75
okt-08,3.75
nov-08,3.75
dec-08,2
jan-09,2
feb-09,1
mar-09,1
apr-09,0.5
maj-09,0.5
jun-09,0.5
jul-09,0.25
aug-09,0.25
sep-09,0.25
okt-09,0.25
nov-09,0.25
dec-09,0.25
jan-10,0.25
feb-10,0.25
mar-10,0.25
apr-10,0.25
maj-10,0.25
jun-10,0.25
jul-10,0.5
aug-10,0.5
sep-10,0.75
okt-10,1
nov-10,1
dec-10,1.25
jan-11,1.25
feb-11,1.5
mar-11,1.5
apr-11,1.75
maj-11,1.75
jun-11,1.75
jul-11,2
aug-11,2
sep-11,2
okt-11,2
nov-11,2
dec-11,1.75
jan-12,1.75
feb-12,1.5
mar-12,1.5
apr-12,1.5
maj-12,1.5
jun-12,1.5
jul-12,1.5
aug-12,1.5
sep-12,1.25
okt-12,1.25
nov-12,1.25
dec-12,1
jan-13,1
feb-13,1
mar-13,1
apr-13,1
maj-13,1
jun-13,1
jul-13,1
aug-13,1
sep-13,1
okt-13,1
nov-13,1
dec-13,0.75
jan-14,0.75
feb-14,0.75
mar-14,0.75
apr-14,0.75
maj-14,0.75
jun-14,0.75
jul-14,0.25
aug-14,0.25
sep-14,0.25
okt-14,0
nov-14,0
dec-14,0
jan-15,0
feb-15,-0.1
mar-15,-0.25
apr-15,-0.25
maj-15,-0.25
jun-15,-0.25
jul-15,-0.35
aug-15,-0.35
sep-15,-0.35
okt-15,-0.35
nov-15,-0.35
dec-15,-0.35
jan-16,-0.35
feb-16,-0.5
mar-16,-0.5
apr-16,-0.5
maj-16,-0.5
jun-16,-0.5
jul-16,-0.5
aug-16,-0.5
sep-16,-0.5
okt-16,-0.5
nov-16,-0.5
dec-16,-0.5
jan-17,-0.5
feb-17,-0.5
mar-17,-0.5
apr-17,-0.5
maj-17,-0.5
jun-17,-0.5
jul-17,-0.5
aug-17,-0.5
sep-17,-0.5
okt-17,-0.5
nov-17,-0.5
dec-17,-0.5
jan-18,-0.5
feb-18,-0.5
mar-18,-0.5
apr-18,-0.5
maj-18,-0.5
jun-18,-0.5
jul-18,-0.5
aug-18,-0.5
sep-18,-0.5
okt-18,-0.5
nov-18,-0.5
dec-18,-0.5
jan-19,-0.25
feb-19,-0.25
mar-19,-0.25
apr-19,-0.25
maj-19,-0.25
jun-19,-0.25
jul-19,-0.25
aug-19,-0.25
sep-19,-0.25
